,num_observations,rel_error,seed,signal_dimension,sparsity
0,10,1.1082935802749694,0,100,1
1,10,1.1082935802749696,0,100,1
2,11,0.030518667234975486,0,100,1
3,12,0.02969094122804389,0,100,1
4,13,0.014830873250124332,0,100,1
5,14,0.014518695935266002,0,100,1
6,16,0.016526107215927732,0,100,1
7,17,0.008808819815478097,0,100,1
8,18,0.008866124179191193,0,100,1
9,20,0.007363558789311608,0,100,1
10,22,0.0074807275124836314,0,100,1
11,23,0.0077870133319581925,0,100,1
12,25,0.007921507484685897,0,100,1
13,28,0.008294431407189329,0,100,1
14,30,0.008585214913230832,0,100,1
15,32,0.007665123137610141,0,100,1
16,35,0.007087363567131355,0,100,1
17,38,0.006897934214428747,0,100,1
18,41,0.007183056788149567,0,100,1
19,45,0.007734589866874031,0,100,1
20,48,0.007923346598103898,0,100,1
21,52,0.008321613637011671,0,100,1
22,57,0.008745380938009473,0,100,1
23,62,0.009231822807872714,0,100,1
24,67,0.00951856744800439,0,100,1
25,72,0.009385142397792756,0,100,1
26,78,0.009955842124269032,0,100,1
27,85,0.010269079519858448,0,100,1
28,92,0.010639647655787732,0,100,1
29,100,0.010974023176337111,0,100,1
30,10,1.1082935802749696,0,100,1
31,10,1.1082935802749694,0,100,1
32,11,0.030518667234975486,0,100,1
33,12,0.02969094122804389,0,100,1
34,13,0.014830873250124332,0,100,1
35,14,0.014518695935266002,0,100,1
36,16,0.016526107215927732,0,100,1
37,17,0.008808819815478097,0,100,1
38,18,0.008866124179191193,0,100,1
39,20,0.007363558789311608,0,100,1
40,22,0.0074807275124836314,0,100,1
41,23,0.0077870133319581925,0,100,1
42,25,0.007921507484685897,0,100,1
43,28,0.008294431407189329,0,100,1
44,30,0.008585214913230832,0,100,1
45,32,0.007665123137610141,0,100,1
46,35,0.007087363567131355,0,100,1
47,38,0.006897934214428747,0,100,1
48,41,0.007183056788149567,0,100,1
49,45,0.007734589866874031,0,100,1
50,48,0.007923346598103898,0,100,1
51,52,0.008321613637011671,0,100,1
52,57,0.008745380938009473,0,100,1
53,62,0.009231822807872714,0,100,1
54,67,0.00951856744800439,0,100,1
55,72,0.009385142397792756,0,100,1
56,78,0.009955842124269032,0,100,1
57,85,0.010269079519858448,0,100,1
58,92,0.010639647655787732,0,100,1
59,100,0.010974023176337111,0,100,1
60,10,1.1082935802749694,0,100,1
61,10,1.1082935802749694,0,100,1
62,11,0.030518667234975486,0,100,1
63,12,0.02969094122804389,0,100,1
64,13,0.014830873250124332,0,100,1
65,14,0.014518695935266002,0,100,1
66,16,0.016526107215927732,0,100,1
67,17,0.008808819815478097,0,100,1
68,18,0.008866124179191193,0,100,1
69,20,0.007363558789311608,0,100,1
70,22,0.0074807275124836314,0,100,1
71,23,0.0077870133319581925,0,100,1
72,25,0.007921507484685897,0,100,1
73,28,0.008294431407189329,0,100,1
74,30,0.008585214913230832,0,100,1
75,32,0.007665123137610141,0,100,1
76,35,0.007087363567131355,0,100,1
77,38,0.006897934214428747,0,100,1
78,41,0.007183056788149567,0,100,1
79,45,0.007734589866874031,0,100,1
80,48,0.007923346598103898,0,100,1
81,52,0.008321613637011671,0,100,1
82,57,0.008745380938009473,0,100,1
83,62,0.009231822807872714,0,100,1
84,67,0.00951856744800439,0,100,1
85,72,0.009385142397792756,0,100,1
86,78,0.009955842124269032,0,100,1
87,85,0.010269079519858448,0,100,1
88,92,0.010639647655787732,0,100,1
89,100,0.010974023176337111,0,100,1
90,10,1.1082935802749694,0,100,1
91,10,1.1082935802749696,0,100,1
92,11,0.030518667234975486,0,100,1
93,12,0.02969094122804389,0,100,1
94,13,0.014830873250124332,0,100,1
95,14,0.014518695935266002,0,100,1
96,16,0.016526107215927732,0,100,1
97,17,0.008808819815478097,0,100,1
98,18,0.008866124179191193,0,100,1
99,20,0.007363558789311608,0,100,1
100,22,0.0074807275124836314,0,100,1
101,23,0.0077870133319581925,0,100,1
102,25,0.007921507484685897,0,100,1
103,28,0.008294431407189329,0,100,1
104,30,0.008585214913230832,0,100,1
105,32,0.007665123137610141,0,100,1
106,35,0.007087363567131355,0,100,1
107,38,0.006897934214428747,0,100,1
108,41,0.007183056788149567,0,100,1
109,45,0.007734589866874031,0,100,1
110,48,0.007923346598103898,0,100,1
111,52,0.008321613637011671,0,100,1
112,57,0.008745380938009473,0,100,1
113,62,0.009231822807872714,0,100,1
114,67,0.00951856744800439,0,100,1
115,72,0.009385142397792756,0,100,1
116,78,0.009955842124269032,0,100,1
117,85,0.010269079519858448,0,100,1
118,92,0.010639647655787732,0,100,1
119,100,0.010974023176337111,0,100,1
120,10,1.1082935802749696,0,100,1
121,10,1.1082935802749694,0,100,1
122,11,0.030518667234975486,0,100,1
123,12,0.02969094122804389,0,100,1
124,13,0.014830873250124332,0,100,1
125,14,0.014518695935266002,0,100,1
126,16,0.016526107215927732,0,100,1
127,17,0.008808819815478097,0,100,1
128,18,0.008866124179191193,0,100,1
129,20,0.007363558789311608,0,100,1
130,22,0.0074807275124836314,0,100,1
131,23,0.0077870133319581925,0,100,1
132,25,0.007921507484685897,0,100,1
133,28,0.008294431407189329,0,100,1
134,30,0.008585214913230832,0,100,1
135,32,0.007665123137610141,0,100,1
136,35,0.007087363567131355,0,100,1
137,38,0.006897934214428747,0,100,1
138,41,0.007183056788149567,0,100,1
139,45,0.007734589866874031,0,100,1
140,48,0.007923346598103898,0,100,1
141,52,0.008321613637011671,0,100,1
142,57,0.008745380938009473,0,100,1
143,62,0.009231822807872714,0,100,1
144,67,0.00951856744800439,0,100,1
145,72,0.009385142397792756,0,100,1
146,78,0.009955842124269032,0,100,1
147,85,0.010269079519858448,0,100,1
148,92,0.010639647655787732,0,100,1
149,100,0.010974023176337111,0,100,1
150,10,1.1210308083899485,0,100,2
151,10,1.1210308083899485,0,100,2
152,11,0.9818905154856766,0,100,2
153,12,0.8448175123520998,0,100,2
154,13,0.021178960084897235,0,100,2
155,14,0.020594551506815103,0,100,2
156,16,0.022940949148168507,0,100,2
157,17,0.014768270658629427,0,100,2
158,18,0.015354863093290486,0,100,2
159,20,0.016764635086978334,0,100,2
160,22,0.017193739234283304,0,100,2
161,23,0.01797342731565598,0,100,2
162,25,0.018363353611836962,0,100,2
163,28,0.020454315815296976,0,100,2
164,30,0.020816260810931523,0,100,2
165,32,0.01949545699598524,0,100,2
166,35,0.017232841069654156,0,100,2
167,38,0.01786050163331181,0,100,2
168,41,0.01840322429335295,0,100,2
169,45,0.019764091135349295,0,100,2
170,48,0.018839352706857996,0,100,2
171,52,0.019400958331722437,0,100,2
172,57,0.02078265835528545,0,100,2
